ID,GraceName,GraceRegion
61413800,Stormhill Shack,Limgrave1
61423800,Warmaster Shack,Limgrave1
61433900,Saintsbridge,Limgrave1
61463800,Third Church of Marika,Limgrave1
61423700,Gatefront,Limgrave1
61433700,Agheel Lake North,Limgrave1
61443900,Summonwater Village Outskirts,Limgrave1
61443800,Limgrave Artist's Shack,Limgrave1
61443500,Agheel Lake South,Limgrave1
61433500,Seaside Ruins,Limgrave1
61433800,Murkwater Coast,Limgrave1
180001,Stranded Graveyard,Limgrave2
62364901,The Ravine,Liurnia_North
62385001,Ravine-Veiled Village, Liurnia_North
62384800,Frenzied Flame Village Outskirts,Liurnia_North
62354700,East Gate Bridge Trestle,Liurnia_North
62344701,Sorcerer's Isle,Liurnia_North
62364500,Gate Town North,Liurnia_North
62334600,Foot of the Four Belfries,Liurnia_North
62344900,Road to the Manor,Liurnia_North
62364800,East Raya Lucaria Gate,Liurnia_North
62354500,South Raya Lucaria Gate,Liurnia_South
62374400,Academy Gate Town,Liurnia_South
62364301,Fallen Ruins of the Lake,Liurnia_South
62374200,Scenic Isle,Liurnia_South
62364300,Boilprawn Shack,Liurnia_South
62394200,Liurnia Highway North,Liurnia_South
62394100,Liurnia Highway South,Liurnia_South
62384100,Laskyar Ruins,Liurnia_South
62384000,Liurnia Lake Shore,Liurnia_South
62384300,Gate Town Bridge,Liurnia_East
62384100,Laskyar Ruins,Liurnia_East
62374200,Scenic Isle,Liurnia_East
62374400,Academy Gate Town,Liurnia_East
62394200,Liurnia Highway North,Liurnia_East
62384000,Liurnia Lake Shore,Liurnia_East
62384800,Frenzied Flame Village Outskirts,Liurnia_East
62384501,Eastern Liurnia Lake Shore,Liurnia_East
62384500,Liurnia Artist's Shack,Liurnia_East
62344400,Temple Quarter,Liurnia_West
62334600,Foot of the Four Belfries,Liurnia_West
62344900,Road to the Manor,Liurnia_West
62344701,Sorcerer's Isle,Liurnia_West
62354700,East Gate Bridge Trestle,Liurnia_West
62364301,Fallen Ruins of the Lake,Liurnia_West
62344600,Crystalline Woods,Liurnia_West
61413200,Isolated Merchant's Shack,Weeping1
61443301,South of the Lookout Tower,Weeping1
61433400,Church of Pilgrimage,Weeping1
61443302,Ailing Village Outskirts,Weeping1
61443400,Bridge of Sacrifice,Weeping1
61443300,Castle Morne Rampart,Weeping1
61413300,Fourth Church of Marika,Weeping1
61423300,Tombsward,Weeping1
64493801,Inner Aeonia,Caelid1
64493902,Sellia Under-Stair,Caelid1
64493900,Sellia Backstreets,Caelid1
64483800,Aeonia Swamp Shore,Caelid1
64474000,Caelem Ruins,Caelid1
64473900,Fort Gael North,Caelid1
64493700,Southern Aeonia Swamp Bank,Caelid1
64483801,Astray from Caelid Highway North,Caelid1
64483900,Smoldering Wall,Caelid1
64524100,Lenne's Rise,Caelid1
64484001,Dragonbarrow West,Caelid1
