ID,Name,reinforcePrice,weaponUpgradeType,properStrength,originEquipWep11,disableParam_NT,disableParamReserve1,disableParamReserve2,behaviorVariationId,sortId,wanderingEquipId,weight,weaponWeightRate,fixPrice,sellValue,correctStrength,correctAgility,correctMagic,correctFaith,physGuardCutRate,magGuardCutRate,fireGuardCutRate,thunGuardCutRate,spEffectBehaviorId0,spEffectBehaviorId1,spEffectBehaviorId2,residentSpEffectId,residentSpEffectId1,residentSpEffectId2,materialSetId,originEquipWep,originEquipWep1,originEquipWep2,originEquipWep3,originEquipWep4,originEquipWep5,originEquipWep6,originEquipWep7,originEquipWep8,originEquipWep9,originEquipWep10,originEquipWep12,originEquipWep13,originEquipWep14,originEquipWep15,weakA_DamageRate,weakB_DamageRate,weakC_DamageRate,weakD_DamageRate,sleepGuardResist_MaxCorrect,madnessGuardResist_MaxCorrect,saWeaponDamage,equipModelId,iconId,durability,durabilityMax,attackThrowEscape,parryDamageLife,attackBasePhysics,attackBaseMagic,attackBaseFire,attackBaseThunder,attackBaseStamina,guardAngle,saDurability,staminaGuardDef,reinforceTypeId,trophySGradeId,trophySeqId,throwAtkRate,bowDistRate,equipModelCategory,equipModelGender,weaponCategory,wepmotionCategory,guardmotionCategory,atkMaterial,defSeMaterial1,correctType_Physics,spAttribute,spAtkcategory,wepmotionOneHandId,wepmotionBothHandId,properAgility,properMagic,properFaith,overStrength,attackBaseParry,defenseBaseParry,guardBaseRepel,attackBaseRepel,guardCutCancelRate,guardLevel,slashGuardCutRate,blowGuardCutRate,thrustGuardCutRate,poisonGuardResist,diseaseGuardResist,bloodGuardResist,curseGuardResist,atkAttribute,rightHandEquipable,leftHandEquipable,bothHandEquipable,arrowSlotEquipable,boltSlotEquipable,enableGuard,enableParry,enableMagic,enableSorcery,enableMiracle,enableVowMagic,isNormalAttackType,isBlowAttackType,isSlashAttackType,isThrustAttackType,isEnhance,isHeroPointCorrect,isCustom,disableBaseChangeReset,disableRepair,isDarkHand,simpleModelForDlc,lanternWep,isVersusGhostWep,baseChangeCategory,isDragonSlayer,isDeposit,disableMultiDropShare,isDiscard,isDrop,showLogCondType,enableThrow,showDialogCondType,disableGemAttr,defSfxMaterial1,wepCollidableType0,wepCollidableType1,postureControlId_Right,postureControlId_Left,traceSfxId0,traceDmyIdHead0,traceDmyIdTail0,traceSfxId1,traceDmyIdHead1,traceDmyIdTail1,traceSfxId2,traceDmyIdHead2,traceDmyIdTail2,traceSfxId3,traceDmyIdHead3,traceDmyIdTail3,traceSfxId4,traceDmyIdHead4,traceDmyIdTail4,traceSfxId5,traceDmyIdHead5,traceDmyIdTail5,traceSfxId6,traceDmyIdHead6,traceDmyIdTail6,traceSfxId7,traceDmyIdHead7,traceDmyIdTail7,defSfxMaterial2,defSeMaterial2,absorpParamId,toughnessCorrectRate,isValidTough_ProtSADmg,isDualBlade,isAutoEquip,isEnableEmergencyStep,invisibleOnRemo,unknown_0x17c_5,quickMatchReplanish,isWeaponCatalyst,correctType_Magic,correctType_Fire,correctType_Thunder,weakE_DamageRate,weakF_DamageRate,darkGuardCutRate,attackBaseDark,correctType_Dark,correctType_Poison,sortGroupId,atkAttribute2,sleepGuardResist,madnessGuardResist,correctType_Blood,properLuck,freezeGuardResist,autoReplenishType,swordArtsParamId,correctLuck,arrowBoltEquipId,DerivationLevelType,enchantSfxSize,wepType,physGuardCutRate_MaxCorrect,magGuardCutRate_MaxCorrect,fireGuardCutRate_MaxCorrect,thunGuardCutRate_MaxCorrect,darkGuardCutRate_MaxCorrect,poisonGuardResist_MaxCorrect,diseaseGuardResist_MaxCorrect,bloodGuardResist_MaxCorrect,curseGuardResist_MaxCorrect,freezeGuardResist_MaxCorrect,staminaGuardDef_MaxCorrect,residentSfxId_1,residentSfxId_2,residentSfxId_3,residentSfxId_4,residentSfx_DmyId_1,residentSfx_DmyId_2,residentSfx_DmyId_3,residentSfx_DmyId_4,staminaConsumptionRate,vsPlayerDmgCorrectRate_Physics,vsPlayerDmgCorrectRate_Magic,vsPlayerDmgCorrectRate_Fire,vsPlayerDmgCorrectRate_Thunder,vsPlayerDmgCorrectRate_Dark,vsPlayerDmgCorrectRate_Poison,vsPlayerDmgCorrectRate_Blood,vsPlayerDmgCorrectRate_Freeze,attainmentWepStatusStr,attainmentWepStatusDex,attainmentWepStatusMag,attainmentWepStatusFai,attainmentWepStatusLuc,attackElementCorrectId,saleValue,reinforceShopCategory,maxArrowQuantity,residentSfx_1_IsVisibleForHang,residentSfx_2_IsVisibleForHang,residentSfx_3_IsVisibleForHang,residentSfx_4_IsVisibleForHang,isSoulParamIdChange_model0,isSoulParamIdChange_model1,isSoulParamIdChange_model2,isSoulParamIdChange_model3,wepSeIdOffset,baseChangePrice,levelSyncCorrectId,correctType_Sleep,correctType_Madness,rarity,gemMountType,wepRegainHp,spEffectMsgId0,spEffectMsgId1,spEffectMsgId2,originEquipWep16,originEquipWep17,originEquipWep18,originEquipWep19,originEquipWep20,originEquipWep21,originEquipWep22,originEquipWep23,originEquipWep24,originEquipWep25,vsPlayerDmgCorrectRate_Sleep,vsPlayerDmgCorrectRate_Madness,saGuardCutRate,defMaterialVariationValue,spAttributeVariationValue,stealthAtkRate,vsPlayerDmgCorrectRate_Disease,vsPlayerDmgCorrectRate_Curse,restrictSpecialSwordArt,pad
1000000,Dagger,130,0,5,1000000,1,0,[0|0|0],100,1000000,0,1.5,0,500,100,35,65,0,0,35,20,20,20,-1,-1,-1,-1,-1,-1,0,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1,1,1,1,15,15,3,100,10000,0,0,1,10,74,0,0,0,30,60,0,15,0,-1,-1,30,-1,7,0,0,20,2,0,149,0,0,0,0,10,9,0,0,99,0,0,10,40,0,1,0,0,0,10,10,10,10,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,2,0,106,1,1,5,5,401000,300,301,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,139,139,20,0.011,0,0,0,1,1,0,0,0,0,0,0,1,1,20,0,0,6,10,2,10,10,6,0,10,0,800,0,0,0,0,1,15,15,15,15,15,15,15,15,15,15,0,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,10000,0,1,1,0,0,0,0,1,0,0,0,0,1300,320,6,6,1,2,53,-1,-1,-1,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1,1,0,0,0,0,1,1,0,[0|0|0|0|0|0|0]
1010000,Black Knife,160,1,8,-1,1,0,[0|0|0],101,1015000,0,2,0,350,100,10,55,0,35,26,15,15,15,-1,-1,-1,-1,-1,-1,2200,1010000,1010000,1010000,1010000,1010000,1010000,1010000,1010000,1010000,1010000,1010000,-1,-1,-1,-1,1,1,1,1,15,15,3,101,10001,0,0,1,10,66,0,0,0,28,60,0,15,2200,-1,-1,10,-1,7,0,0,20,2,0,149,0,13,103,0,10,12,0,18,99,0,0,10,40,0,1,0,0,0,10,10,10,10,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,2,1,106,1,1,5,5,401000,300,302,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,139,139,20,0.011,0,0,0,1,1,0,0,0,0,0,0,1,1,42,65,4,6,10,2,10,10,6,0,10,0,1036,0,0,0,6,1,15,15,15,15,15,15,15,15,15,15,0,-1,-1,-1,-1,-1,-1,-1,-1,1.11,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,10000,0,1,1,0,0,0,0,1,0,0,0,0,1600,320,6,6,3,0,53,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,1,0,1,1,0,[0|0|0|0|0|0|0]
1020000,Parrying Dagger,130,0,5,1020000,1,0,[0|0|0],100,1001000,0,1.5,0,500,100,16,76,0,0,35,20,20,20,-1,-1,-1,-1,-1,-1,0,1020000,1020000,1020000,1020000,1020000,1020000,1020000,1020000,1020000,1020000,1020000,1020000,1020000,1020000,1020000,1,1,1,1,15,15,3,102,10002,0,0,1,10,75,0,0,0,30,60,0,15,0,-1,-1,10,-1,7,0,0,20,2,0,149,0,0,0,0,10,14,0,0,99,0,0,10,40,0,1,0,0,0,10,10,10,10,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,2,0,106,1,1,5,5,401000,300,301,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,139,139,20,0.011,0,0,0,1,1,0,0,0,0,0,0,1,1,20,0,0,6,10,2,10,10,6,0,10,0,302,0,0,0,0,1,15,15,15,15,15,15,15,15,15,15,0,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,10000,0,1,1,0,0,0,0,1,0,0,0,0,1300,320,6,6,1,2,53,-1,-1,-1,1020000,1020000,1020000,1020000,1020000,1020000,1020000,1020000,1020000,1020000,1,1,0,0,0,0,1,1,0,[0|0|0|0|0|0|0]
1030000,Misericorde,160,0,7,1030000,0,0,[0|0|0],103,1002000,0,2,0,350,100,15,50,0,0,36,21,21,21,-1,-1,-1,-1,-1,-1,0,1030000,1030000,1030000,1030000,1030000,1030000,1030000,1030000,1030000,1030000,1030000,1030000,1030000,1030000,1030000,1,1,1,1,15,15,3,103,10003,0,0,1,10,92,0,0,0,28,60,0,15,0,-1,-1,40,-1,7,0,0,20,2,0,149,0,0,101,0,10,12,0,0,99,0,0,10,40,0,1,0,0,0,10,10,10,10,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,2,0,106,1,1,5,5,401000,300,301,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,139,139,20,0.011,0,0,0,1,1,0,0,0,0,0,0,1,1,21,0,0,6,10,2,10,10,6,0,10,0,800,0,0,0,0,1,15,15,15,15,15,15,15,15,15,15,0,-1,-1,-1,-1,-1,-1,-1,-1,1.11,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,10000,0,1,1,0,0,0,0,1,0,0,0,0,1600,320,6,6,1,2,53,-1,-1,-1,1030000,1030000,1030000,1030000,1030000,1030000,1030000,1030000,1030000,1030000,1,1,0,0,0,0,1,1,0,[0|0|0|0|0|0|0]
1040000,Reduvia,180,1,5,-1,0,0,[0|0|0],104,1013000,0,2.5,0,500,100,10,40,0,0,38,22,22,22,6410,-1,-1,-1,-1,-1,2200,1040000,1040000,1040000,1040000,1040000,1040000,1040000,1040000,1040000,1040000,1040000,-1,-1,-1,-1,1,1,1,1,15,15,3,105,10004,0,0,1,10,79,0,0,0,31,60,0,16,2200,-1,-1,10,-1,7,0,0,20,2,0,149,7,0,0,0,10,13,0,0,99,0,0,10,40,0,1,0,0,0,11,11,11,11,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,2,1,106,1,1,5,5,401000,300,302,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,139,139,20,0.011,0,0,0,1,1,0,0,0,0,0,0,1,1,22,0,0,6,10,2,11,11,6,13,11,0,1016,55,0,0,6,1,15,15,15,15,15,15,15,15,15,15,0,-1,-1,-1,-1,-1,-1,-1,-1,1.1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,10013,0,1,1,0,0,0,0,1,0,0,0,0,1800,320,6,6,2,0,53,6501,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,0,0,1,1,0,[0|0|0|0|0|0|0]
1050000,Crystal Knife,130,0,8,1050000,1,0,[0|0|0],100,1009000,0,2,0,500,100,40,25,50,0,32,31,18,18,-1,-1,-1,-1,-1,-1,0,1050000,1050000,1050000,1050000,1050000,1050000,1050000,1050000,1050000,1050000,1050000,1050000,1050000,1050000,1050000,1,1,1,1,15,15,3,115,10005,0,0,1,10,82,53,0,0,31,60,0,15,0,-1,-1,0,-1,7,0,0,20,2,4,154,0,10,0,0,10,12,9,0,99,0,0,10,40,0,1,0,0,0,10,10,10,10,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,2,1,117,1,1,5,5,401000,300,302,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,139,139,20,0.011,0,0,0,1,1,0,0,0,0,0,0,1,1,18,0,0,6,10,2,10,10,6,0,10,0,800,0,0,0,6,1,15,15,15,15,15,15,15,15,15,15,0,-1,-1,-1,-1,-1,-1,-1,-1,1.03,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,10000,0,1,1,0,0,0,0,1,0,0,0,0,1300,320,6,6,1,0,53,-1,-1,-1,1050000,1050000,1050000,1050000,1050000,1050000,1050000,1050000,1050000,1050000,1,1,0,0,0,0,1,1,0,[0|0|0|0|0|0|0]
1060000,Celebrant's Sickle,120,0,6,1060000,1,0,[0|0|0],109,1007000,0,1.5,0,400,100,15,67,0,0,35,20,20,20,-1,-1,5010600,5010601,-1,-1,0,1060000,1060000,1060000,1060000,1060000,1060000,1060000,1060000,1060000,1060000,1060000,1060000,1060000,1060000,1060000,1,1,1,1,15,15,3,416,10006,0,0,1,10,79,0,0,0,28,60,0,15,0,-1,-1,0,-1,7,0,0,20,2,4,124,0,0,100,0,10,11,0,0,99,0,0,10,40,-50,1,0,0,0,10,10,10,10,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,2,0,117,1,1,5,5,401000,300,302,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,139,139,20,0.011,0,0,0,1,1,0,0,0,0,0,0,1,1,20,0,0,6,10,2,10,10,6,0,10,0,800,0,0,0,6,1,15,15,15,15,15,15,15,15,15,15,0,-1,-1,-1,-1,-1,-1,-1,-1,1.04,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,10000,0,1,1,0,0,0,0,1,0,0,0,0,1200,320,6,6,1,2,53,-1,-1,-1,1060000,1060000,1060000,1060000,1060000,1060000,1060000,1060000,1060000,1060000,1,1,0,0,0,0,1,1,0,[0|0|0|0|0|0|0]
1070000,Glintstone Kris,120,1,5,-1,1,0,[0|0|0],107,1012000,0,1.5,0,400,100,10,45,40,0,23,45,14,14,-1,-1,-1,-1,-1,-1,2200,1070000,1070000,1070000,1070000,1070000,1070000,1070000,1070000,1070000,1070000,1070000,-1,-1,-1,-1,1,1,1,1,15,15,3,116,10007,0,0,1,10,57,68,0,0,28,60,0,15,2200,-1,-1,10,-1,7,0,0,20,2,0,149,0,10,101,0,10,12,16,0,99,0,0,10,40,0,1,0,0,0,10,10,10,10,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,2,1,106,1,1,5,5,401000,300,301,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,139,139,20,0.011,0,0,0,1,1,0,0,0,4,0,0,1,1,14,0,0,6,10,2,10,10,6,0,10,0,1017,0,0,0,0,1,15,15,15,15,15,15,15,15,15,15,0,-1,-1,-1,-1,-1,-1,-1,-1,1.04,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,10000,0,1,1,0,0,0,0,1,0,0,0,0,1200,320,6,6,2,0,53,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,0,0,1,1,0,[0|0|0|0|0|0|0]
1080000,Scorpion's Stinger,180,1,6,-1,1,0,[0|0|0],103,1010000,0,2.5,0,500,100,30,70,0,0,38,22,22,22,-1,6600,-1,-1,-1,-1,2200,1080000,1080000,1080000,1080000,1080000,1080000,1080000,1080000,1080000,1080000,1080000,-1,-1,-1,-1,1,1,1,1,15,15,3,117,10008,0,0,1,10,79,0,0,0,31,60,0,16,2200,-1,-1,10,-1,7,0,0,20,2,4,117,0,0,101,0,10,12,0,0,99,0,0,10,40,0,1,0,0,0,11,11,11,11,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,2,1,117,1,1,5,5,401000,300,302,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,139,139,20,0.011,0,0,0,1,1,0,0,0,0,0,0,1,1,22,0,0,6,10,2,11,11,6,0,11,0,109,0,0,0,6,1,15,15,15,15,15,15,15,15,15,15,0,-1,-1,-1,-1,-1,-1,-1,-1,1.1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,10000,0,1,1,0,0,0,0,1,0,0,0,0,1800,320,6,6,2,0,53,6451,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,0,0,1,1,0,[0|0|0|0|0|0|0]
1090000,Great Knife,130,0,6,1090000,1,0,[0|0|0],109,1003000,0,1.5,0,500,100,5,80,0,0,35,20,20,20,6406,-1,-1,-1,-1,-1,0,1090000,1090000,1090000,1090000,1090000,1090000,1090000,1090000,1090000,1090000,1090000,1090000,1090000,1090000,1090000,1,1,1,1,15,15,3,118,10009,0,0,1,10,75,0,0,0,30,60,0,15,0,-1,-1,10,-1,7,0,0,20,2,0,149,0,0,100,0,10,12,0,0,99,0,0,10,40,0,1,0,0,0,10,10,10,10,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,2,0,106,1,1,5,5,401000,300,302,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,139,139,20,0.011,0,0,0,1,1,0,0,0,0,0,0,1,1,20,0,0,6,10,2,10,10,6,0,10,0,800,0,0,0,0,1,15,15,15,15,15,15,15,15,15,15,0,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,10000,0,1,1,0,0,0,0,1,0,0,0,0,1300,320,6,6,1,2,53,6501,-1,-1,1090000,1090000,1090000,1090000,1090000,1090000,1090000,1090000,1090000,1090000,1,1,0,0,0,0,1,1,0,[0|0|0|0|0|0|0]
