Name,SG1,SG2,SG3,SG4,SG5,SG6,SG7,SG8,Total Squares,G1 Time,G2 Time,G3 Time,G4 Time,G5 Time,G6 Time,G7 Time,G8 Time,MPS G1,MPS G2,MPS G3,MPS G4,MPS G5,MPS G6,MPS G7,MPS G8,MPS AVG,MPS AVG Overall
Asym,10,13,13,11,13,9,13,11,93,101.517,72.8333,69.2667,118.483,112.333,84.0833,99.0833,104.417,10.15,5.60,5.33,10.77,8.6,9.34,7.62,9.49,8.37,8.19
Derf,8,13,7,13,6,7,12,13,79,88.9667,84.35,72.8333,115.467,76.1667,85.4667,91.3,116.317,11.12,6.49,10.40,8.88,12.7,12.21,7.61,8.95,9.79,9.25
Dino,13,10,9,13,11,13,11,6,86,95.5333,82.9,69.2667,76.1667,93.9333,91.85,92.0667,87.5833,7.35,8.29,7.70,5.86,8.5,7.07,8.37,14.60,8.47,8.02
Ginger,7,9,10,7,6,6,11,11,67,95.5333,69.2333,99.95,75.3,31.1,79.4333,99.0833,116.317,13.65,7.69,10.00,10.76,5.2,13.24,9.01,10.57,10.01,9.94
Helios,13,13,13,13,0,13,13,13,91,101.517,114.467,82.5667,79.0667,31.1,79.5667,91.3,92.0667,7.81,8.81,6.35,6.08,31.1,6.12,7.02,7.08,10.05,7.38
Raa,7,8,13,8,6,8,7,10,67,84.35,84.6333,118.483,79.4333,68.2333,79.5667,101.95,87.5833,12.05,10.58,9.11,9.93,11.4,9.95,14.56,8.76,10.79,10.51
Rambler,13,6,13,12,13,11,8,13,89,88.9667,82.5667,99.95,112.333,101.467,101.083,91.85,101.95,6.84,13.76,7.69,9.36,7.8,9.19,11.48,7.84,9.25,8.77
Serious,7,12,13,7,11,13,13,9,85,69.2333,115.467,84.6333,79.0667,101.467,93.9333,84.0833,96.1167,9.89,9.62,6.51,11.30,9.2,7.23,6.47,10.68,8.86,8.52
Strump,12,13,13,10,13,13,13,13,100,114.467,82.9,75.3,68.2333,74.0833,85.4667,96.1167,104.417,9.54,6.38,5.79,6.82,5.7,6.57,7.39,8.03,7.03,7.01
ChrisChrass,8,10,13,13,8,13,5,9,79,86.6167,85.4,86.8,77.8,103.583,86.5667,66.2167,84.0667,10.83,8.54,6.68,5.98,12.9,6.66,13.24,9.34,9.28,8.57
Elymis,5,13,13,13,12,8,13,,77,56.45,102.65,110.983,97.6333,96.7667,80.6667,84.0667,,11.29,7.90,8.54,7.51,8.1,10.08,6.47,,8.55,8.17
Moody,13,7,12,2,8,2,7,6,57,94.0833,65.5167,110.983,44,86.5667,66.8,77.65,76.7667,7.24,9.36,9.25,22.00,10.8,33.40,11.09,12.79,14.49,10.92
Nartock,11,10,7,10,13,13,13,13,90,86.6167,65.5167,60.9167,97.6333,82.3167,83.75,116.65,68.05,7.87,6.55,8.70,9.76,6.3,6.44,8.97,5.23,7.48,7.35
Nexus,13,11,13,7,13,9,10,,76,76.55,75.2167,104.75,44,76.6167,82.3167,66.2167,,5.89,6.84,8.06,6.29,5.9,9.15,6.62,,6.96,6.92
NVCC Alex,10,3,5,7,7,4,6,8,50,102.65,75.2167,77.8,91.5667,83.75,48.8333,77.65,81.5167,10.27,25.07,15.56,13.08,12.0,12.21,12.94,10.19,13.91,12.78
RattyRy,9,10,9,7,13,6,5,4,63,94.0833,104.75,86.8,87.9,96.7667,48.8333,75.7333,68.05,10.45,10.48,9.64,12.56,7.4,8.14,15.15,17.01,11.36,10.52
Shura,5,9,6,13,13,13,9,13,81,76.55,64.1,60.9167,87.9,103.583,80.6667,66.8,81.5167,15.31,7.12,10.15,6.76,8.0,6.21,7.42,6.27,8.40,7.68
Stocko,9,5,13,5,13,13,12,10,80,56.45,64.1,85.4,76.6167,91.5667,75.7333,116.65,76.7667,6.27,12.82,6.57,15.32,7.0,5.83,9.72,7.68,8.91,8.04
